Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-04-17,Breakfast,385.0,26.0,1.0,4.0,10.0,0.0,0.0,180.0,499.0,32.0,5.0,13.0,11.0,0.0,0.0,26.2,11.6,
2025-04-17,Dinner,650.0,9.5,0.5,0.0,0.0,0.5,120.0,2100.0,0.0,70.0,12.0,9.0,66.0,0.0,0.0,0.0,0.0,
2025-04-17,Lunch,182.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,
2025-04-17,Snacks,751.9,23.1,2.3,3.5,9.3,0.0,15.0,606.3,1167.1,107.1,13.0,53.1,33.7,8.0,4.6,50.2,42.0,
2025-04-18,Breakfast,450.0,27.5,1.0,4.0,10.0,0.0,0.0,322.0,484.0,43.0,9.0,11.0,15.0,0.0,0.0,11.4,17.1,
2025-04-18,Dinner,361.8,9.2,1.6,0.1,0.0,0.0,20.0,518.3,291.3,66.3,2.6,39.9,4.6,0.0,15.7,10.6,8.1,
2025-04-18,Lunch,1080.0,60.0,14.5,0.0,0.0,0.0,120.0,2320.0,0.0,89.0,7.0,9.0,43.0,10.0,35.0,8.0,40.0,
2025-04-18,Snacks,639.9,17.8,2.3,2.5,6.3,0.0,15.0,279.0,1116.9,92.6,9.0,65.9,29.1,11.2,4.6,60.7,32.1,
2025-04-19,Breakfast,537.5,39.0,1.8,7.0,17.5,0.0,0.0,350.0,500.5,36.8,9.3,3.8,18.5,0.0,0.0,15.9,21.6,
2025-04-19,Dinner,363.3,14.8,6.0,0.0,0.0,0.0,100.0,570.0,500.0,23.3,3.7,7.0,33.3,0.0,0.0,4.8,28.6,
2025-04-19,Lunch,620.0,23.0,8.0,0.0,0.0,0.0,155.0,880.0,0.0,57.0,11.0,3.5,50.5,0.0,0.0,0.0,0.0,
2025-04-19,Snacks,871.9,31.1,4.3,5.5,15.3,0.0,25.0,942.3,971.1,111.1,11.0,36.1,33.7,8.0,4.6,51.5,48.4,
2025-04-20,Breakfast,367.5,23.0,0.8,3.0,7.5,0.0,0.0,310.0,310.5,31.8,6.3,2.8,12.5,0.0,0.0,9.9,15.6,
2025-04-20,Dinner,1152.4,41.6,13.2,8.3,12.7,0.0,217.4,5179.5,2435.6,116.1,10.9,40.2,85.0,19.8,57.2,31.1,51.1,
2025-04-20,Lunch,363.3,14.8,6.0,0.0,0.0,0.0,100.0,570.0,500.0,23.3,3.7,7.0,33.3,0.0,0.0,4.8,28.6,
2025-04-20,Snacks,348.0,6.2,0.5,0.0,0.0,0.0,10.0,221.7,655.8,51.5,5.0,34.8,20.4,3.2,0.0,40.2,26.1,
2025-04-21,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-21,Dinner,664.0,31.5,12.8,0.0,0.0,0.3,77.5,1395.0,0.0,63.0,8.0,12.5,35.5,0.0,0.0,0.0,0.0,
2025-04-21,Lunch,750.0,23.0,5.5,5.5,11.5,0.0,65.0,1320.0,740.0,95.0,14.0,4.0,35.0,0.0,0.0,13.0,32.4,
2025-04-21,Snacks,418.0,6.2,0.5,0.0,0.0,0.0,10.0,221.7,670.8,68.5,5.0,50.8,20.4,3.2,10.0,40.2,26.1,
2025-04-22,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-22,Dinner,413.1,12.6,4.6,0.1,1.1,0.0,75.0,851.3,940.0,43.5,7.9,11.5,31.0,0.0,0.0,7.2,32.8,
2025-04-22,Lunch,881.9,27.1,6.8,3.5,8.3,0.0,50.0,622.3,781.1,134.1,11.0,49.1,28.7,8.0,4.6,16.5,19.7,
2025-04-22,Snacks,250.0,6.0,0.5,0.0,0.0,0.0,10.0,220.0,470.0,28.0,1.0,17.0,20.0,0.0,0.0,39.0,25.0,
2025-04-23,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-23,Dinner,503.1,13.6,4.6,0.1,1.1,0.0,75.0,951.3,1330.0,59.5,9.9,18.5,34.0,0.0,0.0,42.2,34.5,
2025-04-23,Lunch,848.0,23.2,5.5,5.5,11.5,0.0,65.0,1321.7,925.8,118.5,18.0,21.8,35.4,3.2,0.0,14.2,33.5,
2025-04-23,Snacks,320.0,6.0,0.5,0.0,0.0,0.0,10.0,220.0,485.0,45.0,1.0,33.0,20.0,0.0,10.0,39.0,25.0,
2025-04-24,Breakfast,472.5,24.0,0.8,3.0,7.5,0.0,0.0,452.5,619.5,51.3,8.3,8.8,16.8,0.0,0.0,30.1,22.3,
2025-04-24,Dinner,483.1,12.6,4.6,0.1,1.1,0.0,75.0,851.3,955.0,60.5,7.9,27.5,31.0,0.0,10.0,7.2,32.8,
2025-04-24,Lunch,850.0,39.0,6.5,0.0,0.0,0.0,60.0,1880.0,0.0,88.0,7.0,5.0,35.0,0.0,15.0,2.0,6.0,
2025-04-24,Snacks,448.0,12.7,2.5,2.5,7.5,0.0,12.5,601.7,360.8,71.0,9.0,17.8,7.9,3.2,0.0,6.2,16.1,
2025-04-25,Breakfast,472.5,24.0,0.8,3.0,7.5,0.0,0.0,452.5,619.5,51.3,8.3,8.8,16.8,0.0,0.0,30.1,22.3,
2025-04-25,Dinner,361.5,11.0,4.0,0.1,1.0,0.0,65.6,744.8,822.5,38.1,6.9,10.1,27.1,0.0,0.0,6.3,28.7,
2025-04-25,Lunch,610.0,19.0,6.0,2.5,2.5,0.0,60.0,760.0,530.0,80.0,9.0,28.0,28.0,0.0,0.0,7.0,20.4,
2025-04-25,Snacks,308.0,1.7,1.0,0.0,0.0,0.0,65.0,186.7,535.8,33.5,4.5,23.8,39.4,3.2,0.0,29.2,5.0,
2025-04-26,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-26,Dinner,416.0,9.0,2.5,2.5,2.5,0.0,50.0,604.0,815.0,59.5,12.3,20.9,28.0,0.0,0.0,7.0,14.4,
2025-04-26,Lunch,802.5,21.0,7.0,0.0,0.0,0.0,250.0,1615.0,780.0,75.6,10.0,55.1,80.8,0.0,0.0,67.0,0.0,
2025-04-26,Snacks,540.0,16.5,4.0,3.0,9.0,0.0,70.0,850.0,410.0,60.0,6.5,1.0,33.0,0.0,0.0,19.0,21.9,
2025-04-27,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-27,Dinner,730.0,21.5,4.5,2.5,2.5,0.0,105.0,940.0,810.0,81.0,10.5,5.0,54.0,0.0,0.0,20.0,21.6,
2025-04-27,Lunch,443.1,4.4,0.2,0.2,0.6,0.0,0.0,413.0,732.3,87.9,10.7,6.3,13.8,0.1,19.6,9.2,27.9,
2025-04-27,Snacks,740.0,28.0,10.0,3.0,9.0,0.0,65.0,824.0,478.0,111.0,10.0,42.0,11.0,0.0,0.0,14.0,18.0,
2025-04-28,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-28,Dinner,660.0,20.0,3.5,2.5,2.5,0.0,50.0,830.0,610.0,90.5,10.0,14.5,30.3,0.0,0.0,7.0,17.7,
2025-04-28,Lunch,443.1,4.4,0.2,0.2,0.6,0.0,0.0,413.0,732.3,87.9,10.7,6.3,13.8,0.1,19.6,9.2,27.9,
2025-04-28,Snacks,360.0,13.5,8.0,0.0,0.0,0.0,105.0,230.0,216.0,37.0,0.5,27.0,24.0,0.0,0.0,21.0,3.9,
2025-04-29,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-29,Dinner,983.1,20.9,4.2,3.2,9.6,0.0,70.0,1263.0,1142.3,147.9,17.2,7.3,46.8,0.1,19.6,28.2,49.8,
2025-04-29,Lunch,735.0,25.0,8.0,0.0,0.0,0.0,0.0,920.0,0.0,97.0,12.0,21.0,33.0,0.0,0.0,0.0,0.0,
2025-04-29,Snacks,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,25.0,0.0,21.0,0.5,0.0,0.0,0.0,0.0,
2025-04-30,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-30,Lunch,589.1,9.4,1.2,1.2,3.6,0.0,5.0,653.0,835.3,108.4,13.0,7.2,16.8,0.1,19.6,11.2,33.9,
2025-04-30,Dinner,630.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,
2025-05-01,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-01,Dinner,950.0,48.0,14.5,0.0,0.0,7.5,100.0,1340.0,0.0,90.0,6.0,11.0,38.0,15.0,15.0,19.0,30.0,
2025-05-01,Lunch,520.0,16.0,4.0,2.0,5.0,0.0,90.0,967.5,1290.0,59.5,7.0,12.5,33.5,0.0,0.0,9.0,12.1,
2025-05-01,Snacks,321.9,11.6,1.8,2.5,6.3,0.0,55.0,132.3,491.1,29.1,4.5,20.1,28.7,8.0,4.6,19.5,9.3,
2025-05-02,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-02,Dinner,650.0,9.5,0.5,0.0,0.0,0.5,120.0,2100.0,0.0,70.0,12.0,9.0,66.0,0.0,0.0,0.0,0.0,
2025-05-02,Lunch,829.9,31.3,9.0,6.1,13.5,0.0,256.0,1139.3,735.1,91.9,5.8,33.9,47.1,8.0,4.6,52.9,33.0,
2025-05-02,Snacks,250.0,6.0,0.5,0.0,0.0,0.0,10.0,220.0,470.0,28.0,1.0,17.0,20.0,0.0,0.0,39.0,25.0,
2025-05-03,Breakfast,702.5,33.0,3.3,4.0,10.5,0.0,5.0,736.5,897.5,90.3,13.3,23.8,18.8,0.0,0.0,30.4,24.9,
2025-05-03,Dinner,300.0,16.0,7.0,0.0,0.0,0.0,115.0,330.0,0.0,26.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,
2025-05-03,Lunch,620.0,22.0,9.0,0.0,0.0,0.0,70.0,1800.0,0.0,76.0,2.0,8.0,32.0,0.0,0.0,39.0,16.0,
2025-05-03,Snacks,290.0,9.5,5.0,0.0,2.5,0.0,35.0,215.0,690.0,33.0,3.0,15.0,16.0,0.0,0.0,33.0,11.1,
2025-05-04,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-04,Dinner,380.0,8.0,2.5,2.5,2.5,0.0,50.0,622.5,530.0,50.5,8.0,14.5,26.5,0.0,0.0,7.0,14.4,
2025-05-04,Lunch,722.2,15.9,7.0,0.8,3.9,0.3,45.6,783.2,906.2,131.0,12.7,31.1,17.6,5.5,23.4,13.0,36.3,
2025-05-04,Snacks,630.0,17.5,4.0,3.0,9.0,0.0,70.0,950.0,800.0,76.0,8.5,8.0,36.0,0.0,0.0,54.0,23.6,
2025-05-05,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-05,Dinner,610.0,20.0,3.5,2.5,2.5,0.0,50.0,810.0,610.0,78.0,10.0,4.0,30.0,0.0,0.0,7.0,17.7,
2025-05-05,Lunch,443.1,4.4,0.2,0.2,0.6,0.0,0.0,413.0,732.3,87.9,10.7,6.3,13.8,0.1,19.6,9.2,27.9,
2025-05-05,Snacks,120.0,1.5,1.0,0.0,0.0,0.0,55.0,130.0,200.0,3.0,0.5,1.0,24.0,0.0,0.0,13.0,3.9,
2025-05-06,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-06,Dinner,781.5,26.0,7.0,3.1,10.0,0.0,80.6,1464.8,1032.5,95.1,12.9,10.1,36.1,0.0,0.0,12.3,46.7,
2025-05-06,Lunch,645.0,14.5,1.0,2.7,6.9,0.0,0.0,415.3,1023.4,114.0,14.7,25.4,18.5,8.1,24.2,15.7,33.3,
2025-05-06,Snacks,535.0,14.5,1.0,0.0,0.0,0.0,0.0,562.0,1029.0,66.0,9.0,21.5,37.5,0.0,0.0,67.9,13.6,
2025-05-07,Dinner,190.0,2.0,0.0,1.0,0.5,0.0,10.0,265.0,260.0,25.0,3.0,5.5,19.0,0.0,0.0,25.0,20.0,
2025-05-07,Lunch,1130.0,50.0,14.0,0.0,0.0,0.0,70.0,1900.0,0.0,129.0,9.0,32.0,37.0,2.0,17.0,12.0,21.0,
2025-05-07,Snacks,715.0,18.5,4.0,3.0,9.0,0.0,15.0,1002.0,1071.0,95.0,11.0,19.5,38.5,0.0,0.0,68.5,20.5,
2025-05-08,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-08,Dinner,361.5,11.0,4.0,0.1,1.0,0.0,65.6,744.8,822.5,38.1,6.9,10.1,27.1,0.0,0.0,6.3,28.7,
2025-05-08,Lunch,443.1,4.4,0.2,0.2,0.6,0.0,0.0,413.0,732.3,87.9,10.7,6.3,13.8,0.1,19.6,9.2,27.9,
2025-05-08,Snacks,695.0,21.0,3.5,3.0,9.0,0.0,25.0,942.5,905.0,90.5,7.0,22.0,29.3,0.0,0.0,62.5,44.1,
2025-05-09,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-09,Dinner,641.5,23.0,5.0,0.1,1.0,0.0,65.6,954.8,902.5,78.1,8.9,10.1,31.1,0.0,0.0,6.3,32.0,
2025-05-09,Lunch,700.0,31.0,8.0,1.5,2.0,0.0,115.0,1000.0,480.0,80.0,6.0,66.0,27.0,0.0,0.0,4.0,6.1,
2025-05-09,Snacks,429.9,8.3,2.3,1.5,2.1,0.6,3.2,599.4,895.5,55.0,3.6,13.5,33.2,5.5,0.0,69.2,7.8,
2025-05-10,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-10,Dinner,997.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,
2025-05-10,Lunch,690.0,24.0,8.0,0.0,0.0,0.0,155.0,1260.0,0.0,73.0,19.0,6.5,52.5,0.0,0.0,0.0,0.0,
2025-05-10,Snacks,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.5,0.0,13.5,0.0,0.0,0.0,0.0,0.3,
2025-05-11,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-11,Dinner,1000.4,46.6,17.7,10.1,7.5,0.8,105.0,893.2,205.2,125.4,6.4,45.5,23.1,0.0,0.0,2.5,37.2,
2025-05-11,Lunch,443.1,4.4,0.2,0.2,0.6,0.0,0.0,413.0,732.3,87.9,10.7,6.3,13.8,0.1,19.6,9.2,27.9,
2025-05-11,Snacks,680.0,27.5,13.0,2.0,6.0,0.0,65.0,610.0,540.0,77.0,6.5,33.0,32.0,0.0,0.0,17.0,15.9,
2025-05-12,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-12,Dinner,330.0,8.0,2.5,2.5,2.5,0.0,50.0,600.0,530.0,38.0,8.0,4.0,26.0,0.0,0.0,7.0,14.4,
2025-05-12,Lunch,443.1,4.4,0.2,0.2,0.6,0.0,0.0,413.0,732.3,87.9,10.7,6.3,13.8,0.1,19.6,9.2,27.9,
2025-05-12,Snacks,1020.0,27.5,6.0,5.0,15.0,0.0,80.0,1334.0,852.0,147.0,14.5,44.0,41.0,0.0,0.0,23.0,34.5,
2025-05-13,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-13,Lunch,443.1,4.4,0.2,0.2,0.6,0.0,0.0,413.0,732.3,87.9,10.7,6.3,13.8,0.1,19.6,9.2,27.9,
2025-05-13,Dinner,640.0,20.5,3.8,0.0,0.0,0.0,77.5,2300.0,0.0,78.0,8.0,26.5,37.5,0.0,0.0,0.0,0.0,
2025-05-13,Snacks,120.0,1.5,1.0,0.0,0.0,0.0,55.0,130.0,200.0,3.0,0.5,1.0,24.0,0.0,0.0,13.0,3.9,
2025-05-14,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-14,Lunch,721.3,14.7,1.1,2.8,6.9,0.0,0.0,415.3,1279.9,131.9,16.0,37.8,19.1,8.1,39.9,16.1,33.3,
2025-05-14,Snacks,755.0,28.0,4.5,0.0,0.0,0.0,0.0,630.0,735.0,91.0,9.0,11.5,34.5,0.0,20.0,64.5,10.5,
2025-05-14,Dinner,718.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,
2025-05-15,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-15,Dinner,614.5,5.5,0.0,0.0,0.0,0.0,0.0,960.3,1444.5,121.3,16.7,20.0,29.2,0.0,0.0,9.7,40.1,
2025-05-15,Lunch,330.0,8.0,2.5,2.5,2.5,0.0,50.0,600.0,530.0,38.0,8.0,4.0,26.0,0.0,0.0,7.0,14.4,
2025-05-15,Snacks,518.0,17.2,2.0,1.0,3.0,0.0,5.0,451.7,335.8,82.5,8.0,17.8,7.4,3.2,0.0,3.2,10.4,
2025-05-16,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-16,Lunch,402.0,15.1,1.8,4.0,8.3,0.0,75.0,582.3,771.1,129.1,17.0,28.2,52.9,0.0,0.0,10.46,11.56,
2025-05-16,Dinner,767.0,7.6,1.0,0.0,0.0,0.0,0.0,1080.3,1938.7,129.1,17.0,28.2,52.9,0.0,0.0,65.0,35.88,
2025-05-17,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-05-17,Lunch,330.0,8.0,2.5,2.5,2.5,0.0,50.0,600.0,530.0,38.0,8.0,4.0,26.0,0.0,0.0,7.0,14.4,
2025-05-17,Dinner,693.0,24.6,5.6,0.1,1.1,0.0,75.0,1061.2,1020.0,83.5,9.9,11.5,35.0,0.0,0.0,7.2,40.0,
2025-05-17,Snacks,1076.0,28.2,9.8,3.0,9.0,0.0,15.0,1210.0,1596.2,141.0,12.2,52.1,59.9,0.0,0.0,73.0,22.38,